kind	name	parent	offset	size	align	value	ownership	rule
abi	major	-	-	2	-	24	-	Consumer requires exact major 24.
abi	minor	-	-	2	-	0	-	Consumer accepts exact minor 0 only.
abi	pointer_width	-	-	1	-	8	-	Only 64-bit targets are legal.
abi	endianness	-	-	1	-	1	-	Value 1 means little-endian; all others reject.
type	wln_status_v24	-	-	4	4	signed-int32	value	Zero is success; listed negative values are failures; positive and unknown values reject.
type	wln_borrowed_buffer_v24	-	-	16	8	-	borrowed	Caller retains storage and immutability for call duration; library never frees or retains it.
field	data	wln_borrowed_buffer_v24	0	8	8	pointer	borrowed	NULL iff length is zero; points to length readable bytes.
field	length	wln_borrowed_buffer_v24	8	8	8	u64	value	At most 268435456; checked before pointer arithmetic.
type	wln_owned_buffer_v24	-	-	32	8	-	library-to-caller	Returned nonempty storage is released only by wln_result_release_v24 or wln_diagnostic_release_v24; context release never releases caller-held output.
field	data	wln_owned_buffer_v24	0	8	8	pointer	library-owned	NULL iff capacity is zero; never caller-freed directly.
field	length	wln_owned_buffer_v24	8	8	8	u64	value	At most capacity and the field-specific cap.
field	capacity	wln_owned_buffer_v24	16	8	8	u64	value	Allocator allocation size; at least length.
field	owner_cookie	wln_owned_buffer_v24	24	8	8	u64	linear-token	Nonzero live cookie is authenticated and bound to exact mapped-library generation allocator record and allocation; copied cookies do not create ownership.
type	wln_handle_v24	-	-	16	8	-	linear	Created once and released once; stale generation rejects.
field	value	wln_handle_v24	0	8	8	u64	linear-token	Zero is invalid.
field	generation	wln_handle_v24	8	8	8	u64	linear-token	Nonzero and matched against library handle table.
type	wln_allocator_v24	-	-	64	8	-	borrowed-context	Caller retains struct callbacks and context through failed-create diagnostic release and until every associated handle result and diagnostic cookie is released.
field	struct_size	wln_allocator_v24	0	4	4	u32	value	Exactly 64.
field	flags	wln_allocator_v24	4	4	4	u32	value	Exactly zero in minor 0.
field	context	wln_allocator_v24	8	8	8	pointer	borrowed	Opaque caller context.
field	allocate	wln_allocator_v24	16	8	8	function-pointer	borrowed	Required; returns aligned storage or NULL.
field	reallocate	wln_allocator_v24	24	8	8	function-pointer	borrowed	Required for frozen struct layout but never called by ABI v24 minor-0 private staging; NULL retains old storage and successful non-NULL completion consumes old storage so no later old-address read write zero or free is permitted.
field	free	wln_allocator_v24	32	8	8	function-pointer	borrowed	Required; receives the exact allocation size and alignment.
field	reserved	wln_allocator_v24	40	24	8	u64[3]	value	All zero on input and output.
type	wln_call_context_v24	-	-	96	8	-	borrowed	Valid only for the dynamic extent of one create or invoke call.
field	struct_size	wln_call_context_v24	0	4	4	u32	value	Exactly 96.
field	abi_major	wln_call_context_v24	4	2	2	u16	value	Exactly 24; every other value including 13, 14, 15, and 19 is WLN_STATUS_ABI_MISMATCH_V24 before callback or output write.
field	abi_minor	wln_call_context_v24	6	2	2	u16	value	Exactly 0.
field	flags	wln_call_context_v24	8	4	4	u32	value	Exactly zero in minor 0.
field	reserved0	wln_call_context_v24	12	4	4	u32	value	Zero.
field	allocator	wln_call_context_v24	16	8	8	pointer	borrowed	Required and points to a valid wln_allocator_v24 retained through context release.
field	is_cancelled	wln_call_context_v24	24	8	8	function-pointer	borrowed	Optional; NULL means unavailable; 0 continues 1 cancels and 2 through 255 are callback-protocol errors at each of five safe-point classes; no exception or unwind crosses the C boundary.
field	cancel_context	wln_call_context_v24	32	8	8	pointer	borrowed	Must be NULL when is_cancelled is NULL; otherwise retained through every associated owner and serialized by exact callback/context domain.
field	relative_timeout_ns	wln_call_context_v24	40	8	8	u64	value	Zero disables the deadline; otherwise 1 through 3600000000000 nanoseconds captured against the native RID clock at call entry.
field	trace_id	wln_call_context_v24	48	16	1	bytes16	value	All zero means absent; otherwise opaque and never security-authoritative.
field	reserved	wln_call_context_v24	64	32	8	u64[4]	value	All zero.
type	wln_diagnostic_v24	-	-	96	8	-	library-to-caller	Caller uses WLN_DIAGNOSTIC_INIT_V24; library returns canonical empty diagnostic or bounded owned fields; dedicated release zeroes the complete struct.
field	struct_size	wln_diagnostic_v24	0	4	4	u32	value	Exactly 96 for an output parameter; a complete all-zero struct is legal only as an already-released input to wln_diagnostic_release_v24.
field	domain	wln_diagnostic_v24	4	2	2	u16	value	Exactly the Section-5.2 mapping: 0 success 1 ABI 2 KERNEL or 3 SYSTEM; no other domain exists.
field	severity	wln_diagnostic_v24	6	2	2	u16	value	Exactly zero for success or 3 for every completed error; 1 and 2 are unassigned.
field	code	wln_diagnostic_v24	8	4	4	u32	value	Exactly zero for success or the unique Section-5.2 code for status; alternate same-domain codes reject.
field	flags	wln_diagnostic_v24	12	4	4	u32	value	Exactly zero; sensitive-message/context bits remain declared for ABI layout compatibility but no v24 diagnostic may set them.
field	message	wln_diagnostic_v24	16	32	8	wln_owned_buffer_v24	library-to-caller	Success is canonical empty; completed error is the exact nonempty ASCII message for status in Section 5.2 with one live owner cookie.
field	context	wln_diagnostic_v24	48	32	8	wln_owned_buffer_v24	library-to-caller	Always canonical empty NULL zero zero zero; v24 defines no diagnostic context type or fields.
field	reserved	wln_diagnostic_v24	80	16	8	u64[2]	value	All zero.
type	wln_result_v24	-	-	160	8	-	library-to-caller	Caller uses WLN_RESULT_INIT_V24; PRE_DISPATCH_NO_WRITE leaves all bytes identical and has no release while exactly one release follows each COMPLETED_OWNED_RESULT success or failure.
field	struct_size	wln_result_v24	0	4	4	u32	value	Exactly 160 for invoke output; a complete all-zero struct is legal only as an already-released input to wln_result_release_v24.
field	status	wln_result_v24	4	4	4	wln_status_v24	value	For a completed result matches function return exactly; pre-dispatch rejection leaves initializer status OK byte-identical and is not a result.
field	operation	wln_result_v24	8	4	4	u32	value	A completed result echoes one known operation 1 through 3; unknown operations leave initializer operation zero byte-identical and create no result.
field	flags	wln_result_v24	12	4	4	u32	value	Exactly zero in minor 0.
field	payload	wln_result_v24	16	32	8	wln_owned_buffer_v24	library-to-caller	Success uses exact operation output CBE16; failure is canonical empty.
field	diagnostic	wln_result_v24	48	96	8	wln_diagnostic_v24	library-to-caller	Success is canonical empty; failure is a bounded error diagnostic.
field	reserved	wln_result_v24	144	16	8	u64[2]	value	All zero.
type	wln_abi_descriptor_v24	-	-	128	8	-	library-static	Immutable storage valid for library mapping lifetime; consumer never frees pointers.
field	struct_size	wln_abi_descriptor_v24	0	4	4	u32	value	Exactly 128.
field	abi_major	wln_abi_descriptor_v24	4	2	2	u16	value	Exactly 24; every other value including 13, 14, 15, and 19 is ABI_MISMATCH before context creation.
field	abi_minor	wln_abi_descriptor_v24	6	2	2	u16	value	Exactly 0.
field	pointer_width	wln_abi_descriptor_v24	8	1	1	u8	value	Exactly 8.
field	endianness	wln_abi_descriptor_v24	9	1	1	u8	value	Exactly 1 for little-endian.
field	status_width	wln_abi_descriptor_v24	10	1	1	u8	value	Exactly 4.
field	flags_width	wln_abi_descriptor_v24	11	1	1	u8	value	Exactly 4.
field	feature_flags	wln_abi_descriptor_v24	12	4	4	u32	value	Exactly zero in minor 0.
field	max_input_bytes	wln_abi_descriptor_v24	16	8	8	u64	value	Exactly 268435456.
field	max_output_bytes	wln_abi_descriptor_v24	24	8	8	u64	value	Exactly 268435456.
